time,x,y
1.760352070414082926e+00,1.406853746422436480e+01,1.408740115612498478e+01
1.776355271054210760e+00,1.372955423926032559e+01,1.480537910754507891e+01
1.792358471694338817e+00,1.340881285376289078e+01,1.537672146085051317e+01
1.808361672334466874e+00,1.314144324797498520e+01,1.578262676604172299e+01
1.824364872974594931e+00,1.271471543276147820e+01,1.615697090343613951e+01
1.840368073614722988e+00,1.234398167345274366e+01,1.647805009641665208e+01
1.856371274254851045e+00,1.207791669682928948e+01,1.689665803392154686e+01
1.872374474894979102e+00,1.159616423033041244e+01,1.693937352980753275e+01
1.888377675535106937e+00,1.121867916426739598e+01,1.704451774982484480e+01
1.904380876175234993e+00,1.081049228321750988e+01,1.704224088504652457e+01
1.920384076815363050e+00,1.070250628675422178e+01,1.700363223429089743e+01
1.936387277455491107e+00,1.036611682071241347e+01,1.683922007106757590e+01
1.952390478095619164e+00,1.011041850461775304e+01,1.664657283145511002e+01
1.968393678735747221e+00,9.718858568638349738e+00,1.647157988499045445e+01
1.984396879375875278e+00,9.455124993339625306e+00,1.593176518692465926e+01
2.000400080016003113e+00,9.233257829040118381e+00,1.558936382010847232e+01
2.016403280656131169e+00,9.047016950971181970e+00,1.510158361371346203e+01
2.032406481296259226e+00,8.823207814571219387e+00,1.471270337739978196e+01
2.048409681936387283e+00,8.557343595309154338e+00,1.417450105908477553e+01
2.064412882576515340e+00,8.374978419934310025e+00,1.376111513789003915e+01
2.080416083216643397e+00,8.224532197326796634e+00,1.308660947413438613e+01
2.096419283856771454e+00,8.066426300722445930e+00,1.255141976208415677e+01
2.112422484496899511e+00,7.995454703455894929e+00,1.206597452617997845e+01
2.128425685137027568e+00,7.856620743707374288e+00,1.148122262551170714e+01
2.144428885777155624e+00,7.722444165535157445e+00,1.092012042737381883e+01
2.160432086417283681e+00,7.851316499478949495e+00,1.049591684370225586e+01
2.176435287057411294e+00,7.608267515640599221e+00,9.873447546052181778e+00
2.192438487697539351e+00,7.545291374677097984e+00,9.451922693330969238e+00
2.208441688337667408e+00,7.554647422108259569e+00,8.946272613342301838e+00
2.224444888977795465e+00,7.458432230770953630e+00,8.603913755103734573e+00
2.240448089617923522e+00,7.525729580759101367e+00,8.083021153317421437e+00
2.256451290258051579e+00,7.482640651613968963e+00,7.664398137940267475e+00
2.272454490898179635e+00,7.347018847706141997e+00,7.306136978211161370e+00
2.288457691538307692e+00,7.449568327468683471e+00,6.880002411649406291e+00
2.304460892178435749e+00,7.489027876178520060e+00,6.616598944858207432e+00
2.320464092818563806e+00,7.488711637035987856e+00,6.177793477365566943e+00
2.336467293458691863e+00,7.613296073978344403e+00,5.975922591718481058e+00
2.352470494098819920e+00,7.574939847641990021e+00,5.673602658159217604e+00
2.368473694738947977e+00,7.657085375817002770e+00,5.385753373088798313e+00
2.384476895379076034e+00,7.664302656613759090e+00,5.154767835098554407e+00
2.400480096019203646e+00,7.849828622212394080e+00,4.903912160031771883e+00
